,0,ngram
"('county', 'genealogical')",4,county genealogical
"('army', 'air')",4,army air
"('museum', 'research')",4,museum research
"('inc', 'union')",4,inc union
"('fire', 'service')",4,fire service
"('hill', 'historical')",4,hill historical
"('museum', 'long')",4,museum long
"('school', 'athletic')",4,school athletic
"('main', 'street')",4,main street
"('museum', 'village')",4,museum village
"('military', 'heritage')",4,military heritage
"('inc', 'monroe')",4,inc monroe
"('museum', 'fine')",4,museum fine
"('inc', 'black')",4,inc black
"('beach', 'historical')",4,beach historical
"('inc', 'oregon')",4,inc oregon
"('mill', 'inc')",4,mill inc
"('heritage', 'park')",4,heritage park
"('center', 'woman')",4,center woman
"('aviation', 'foundation')",4,aviation foundation
"('collector', 'association')",4,collector association
"('history', 'heritage')",4,history heritage
"('art', 'space')",4,art space
"('museum', 'wildlife')",4,museum wildlife
"('endowment', 'fund')",4,endowment fund
"('museum', 'minnesota')",4,museum minnesota
"('historic', 'house')",4,historic house
"('city', 'inc')",4,city inc
"('military', 'vehicle')",4,military vehicle
"('jewish', 'heritage')",4,jewish heritage
"('club', 'museum')",4,club museum
"('museum', 'cape')",4,museum cape
"('art', 'guild')",4,art guild
"('aquarium', 'inc')",4,aquarium inc
"('inc', 'marine')",4,inc marine
"('county', 'fire')",4,county fire
"('right', 'museum')",4,right museum
"('conservation', 'foundation')",4,conservation foundation
"('inc', 'house')",4,inc house
"('museum', 'northern')",4,museum northern
"('arboretum', 'garden')",4,arboretum garden
"('heritage', 'preservation')",4,heritage preservation
"('zoo', 'inc')",4,zoo inc
"('museum', 'international')",4,museum international
"('museum', 'garden')",4,museum garden
"('museum', 'western')",4,museum western
"('york', 'city')",4,york city
"('service', 'inc')",4,service inc
"('society', 'international')",4,society international
"('museum', 'lake')",4,museum lake
"('garden', 'association')",4,garden association
"('butler', 'county')",4,butler county
"('gallery', 'museum')",4,gallery museum
"('county', 'master')",4,county master
"('city', 'historical')",4,city historical
"('great', 'lake')",4,great lake
"('safety', 'museum')",4,safety museum
"('american', 'historical')",4,american historical
"('child', 'museum')",4,child museum
"('island', 'museum')",4,island museum
"('inc', 'atlantic')",4,inc atlantic
"('foundation', 'orange')",4,foundation orange
"('art', 'institute')",4,art institute
